tx_id,customer_region,destination_jurisdiction,asset,amount_usd,counterparty_type,customer_tenure_days,transaction_velocity_24h,chain_risk_score,sanctions_screen_hit,adverse_media_flag,originator_name,originator_account,originator_address,originator_id,beneficiary_name,beneficiary_account,simulated_illicit_label
TX-6822-0001,US,Singapore,BTC,1654.51,unhosted_wallet,94,4,63.6,False,True,True,True,False,True,True,True,False
TX-6822-0002,US,Singapore,ETH,246.27,hosted_vasp,277,1,10.5,False,False,True,True,True,True,True,False,True
TX-6822-0003,Singapore,High-risk corridor,USDC,1828.66,hosted_vasp,1938,3,48.4,False,False,True,True,True,True,True,True,False
TX-6822-0004,Singapore,US,USDC,10717.32,hosted_vasp,1102,6,38.9,False,False,True,True,True,True,True,True,False
TX-6822-0005,India,EU,USDC,2562.02,unhosted_wallet,23,3,48.4,False,False,True,True,True,False,True,False,False
TX-6822-0006,India,EU,USDC,4154.78,hosted_vasp,41,4,31.1,False,False,True,True,False,False,True,False,False
TX-6822-0007,Hong Kong,EU,SOL,606.36,hosted_vasp,579,17,35.6,False,False,True,True,True,True,True,True,False
TX-6822-0008,Hong Kong,Singapore,ETH,2418.89,hosted_vasp,151,4,38.5,False,False,True,True,True,False,True,True,False
TX-6822-0009,EU,Singapore,USDC,1831.25,hosted_vasp,1312,13,41.6,False,False,True,True,True,True,True,True,False
TX-6822-0010,Nigeria,Offshore,USDC,3109.84,unhosted_wallet,1976,3,77.0,False,False,True,True,True,False,True,True,False
TX-6822-0011,US,Offshore,USDC,2713.21,hosted_vasp,405,0,34.1,False,False,True,True,True,True,True,True,False
TX-6822-0012,US,EU,USDC,2097.2,hosted_vasp,10,4,33.0,False,False,True,True,True,True,True,True,False
TX-6822-0013,US,Offshore,USDC,1139.44,unhosted_wallet,650,18,69.5,False,False,True,True,True,False,False,True,False
TX-6822-0014,EU,Singapore,USDC,2593.16,hosted_vasp,1729,4,31.6,False,False,True,True,True,True,True,True,False
TX-6822-0015,US,Singapore,BTC,2000.57,hosted_vasp,884,0,38.0,False,False,True,True,True,True,True,True,False
TX-6822-0016,EU,EU,USDC,1642.92,hosted_vasp,1231,4,18.6,False,False,True,True,False,True,True,True,False
TX-6822-0017,Singapore,US,USDC,1306.0,unhosted_wallet,1396,0,34.6,False,False,True,True,True,True,True,True,False
