tx_id,customer_region,destination_jurisdiction,asset,amount_usd,counterparty_type,customer_tenure_days,transaction_velocity_24h,chain_risk_score,sanctions_screen_hit,adverse_media_flag,originator_name,originator_account,originator_address,originator_id,beneficiary_name,beneficiary_account,simulated_illicit_label,us_above_threshold,us_travel_rule_required,us_action,us_missing_fields,us_reason,sg_above_threshold,sg_travel_rule_required,sg_action,sg_missing_fields,sg_reason,global_strict_above_threshold,global_strict_travel_rule_required,global_strict_action,global_strict_missing_fields,global_strict_reason,us_vs_sg_different
TX-6822-0001,US,Singapore,BTC,1654.51,unhosted_wallet,94,4,63.6,False,True,True,True,False,True,True,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,BLOCK,originator_address,Required Travel Rule data missing,True,True,BLOCK,originator_address,Required Travel Rule data missing,True
TX-6822-0002,US,Singapore,ETH,246.27,hosted_vasp,277,1,10.5,False,False,True,True,True,True,True,False,True,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,False,True,BLOCK,beneficiary_account,Required Travel Rule data missing,False,True,BLOCK,beneficiary_account,Required Travel Rule data missing,True
TX-6822-0003,Singapore,High-risk corridor,USDC,1828.66,hosted_vasp,1938,3,48.4,False,False,True,True,True,True,True,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True
TX-6822-0005,India,EU,USDC,2562.02,unhosted_wallet,23,3,48.4,False,False,True,True,True,False,True,False,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,BLOCK,originator_id;beneficiary_account,Required Travel Rule data missing,True,True,BLOCK,originator_id;beneficiary_account,Required Travel Rule data missing,True
TX-6822-0007,Hong Kong,EU,SOL,606.36,hosted_vasp,579,17,35.6,False,False,True,True,True,True,True,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,False,True,APPROVE_WITH_BASIC_DATA,,Below enhanced threshold; basic data retained,False,True,APPROVE_WITH_BASIC_DATA,,Below enhanced threshold; basic data retained,True
TX-6822-0008,Hong Kong,Singapore,ETH,2418.89,hosted_vasp,151,4,38.5,False,False,True,True,True,False,True,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,BLOCK,originator_id,Required Travel Rule data missing,True,True,BLOCK,originator_id,Required Travel Rule data missing,True
TX-6822-0009,EU,Singapore,USDC,1831.25,hosted_vasp,1312,13,41.6,False,False,True,True,True,True,True,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True
TX-6822-0011,US,Offshore,USDC,2713.21,hosted_vasp,405,0,34.1,False,False,True,True,True,True,True,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True
TX-6822-0012,US,EU,USDC,2097.2,hosted_vasp,10,4,33.0,False,False,True,True,True,True,True,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True
TX-6822-0013,US,Offshore,USDC,1139.44,unhosted_wallet,650,18,69.5,False,False,True,True,True,False,False,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,BLOCK,originator_id;beneficiary_name,Required Travel Rule data missing,True,True,BLOCK,originator_id;beneficiary_name,Required Travel Rule data missing,True
TX-6822-0014,EU,Singapore,USDC,2593.16,hosted_vasp,1729,4,31.6,False,False,True,True,True,True,True,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True
TX-6822-0015,US,Singapore,BTC,2000.57,hosted_vasp,884,0,38.0,False,False,True,True,True,True,True,True,False,False,False,APPROVE,,Below jurisdictional threshold and no elevated risk,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True,True,APPROVE_WITH_TRAVEL_RULE_DATA,,Threshold crossed,True
